拉塞尔-维斯布鲁克 位置 控球后卫
拉塞尔-维斯布鲁克 身高 1.90m
拉塞尔-维斯布鲁克 体重 90kg
拉塞尔-维斯布鲁克 年龄 30
拉塞尔-维斯布鲁克 生涯 0年
拉塞尔-维斯布鲁克 毕业大学 UCLA
拉塞尔-维斯布鲁克 球员主页 http://nba.sports.163.com//player/1000000339/
保罗-乔治 号码 0
保罗-乔治 位置 小前锋
保罗-乔治 身高 2.06m
保罗-乔治 体重 99kg
保罗-乔治 年龄 28
保罗-乔治 生涯 0年
保罗-乔治 毕业大学 Fresno
保罗-乔治 球员主页 State
戈兰-德拉季奇 号码 0
戈兰-德拉季奇 位置 控球后卫
戈兰-德拉季奇 身高 1.90m
戈兰-德拉季奇 体重 86kg
戈兰-德拉季奇 年龄 32
戈兰-德拉季奇 生涯 0年
戈兰-德拉季奇 球员主页 http://nba.sports.163.com//player/1000000369/
肯巴-沃克 号码 0
肯巴-沃克 位置 控球后卫
肯巴-沃克 身高 1.85m
肯巴-沃克 体重 83kg
肯巴-沃克 年龄 28
肯巴-沃克 生涯 0年
肯巴-沃克 毕业大学 Connecticut
肯巴-沃克 球员主页 http://nba.sports.163.com//player/1000000417/
拉马库斯-阿尔德里奇 号码 0
拉马库斯-阿尔德里奇 位置 大前锋
拉马库斯-阿尔德里奇 身高 2.11m
拉马库斯-阿尔德里奇 体重 117kg
拉马库斯-阿尔德里奇 年龄 33
拉马库斯-阿尔德里奇 生涯 0年
拉马库斯-阿尔德里奇 毕业大学 Texas
拉马库斯-阿尔德里奇 球员主页 http://nba.sports.163.com//player/1000000453/
布拉德利-比尔 号码 0
布拉德利-比尔 位置 控球后卫
布拉德利-比尔 身高 1.96m
布拉德利-比尔 体重 93kg
布拉德利-比尔 年龄 25
布拉德利-比尔 生涯 0年
布拉德利-比尔 毕业大学 Florida
布拉德利-比尔 球员主页 http://nba.sports.163.com//player/1000000542/
安德烈-德拉蒙德 号码 0
安德烈-德拉蒙德 位置 中锋
安德烈-德拉蒙德 身高 2.11m
安德烈-德拉蒙德 体重 126kg
安德烈-德拉蒙德 年龄 25
安德烈-德拉蒙德 生涯 0年
安德烈-德拉蒙德 毕业大学 Connecticut
安德烈-德拉蒙德 球员主页 http://nba.sports.163.com//player/1000000550/
以赛亚-托马斯 号码 0
以赛亚-托马斯 位置 控球后卫
以赛亚-托马斯 身高 1.75m
以赛亚-托马斯 体重 83kg
以赛亚-托马斯 年龄 29
以赛亚-托马斯 生涯 0年
以赛亚-托马斯 毕业大学 Washington
以赛亚-托马斯 球员主页 http://nba.sports.163.com//player/1000000015/
蒙特-莫里斯 号码 11
蒙特-莫里斯 位置 控球后卫
蒙特-莫里斯 身高 1.90m
蒙特-莫里斯 体重 79kg
蒙特-莫里斯 年龄 23
蒙特-莫里斯 生涯 0年
蒙特-莫里斯 毕业大学 Iowa
蒙特-莫里斯 球员主页 State
特雷-莱尔斯 号码 7
特雷-莱尔斯 位置 大前锋
特雷-莱尔斯 身高 2.08m
特雷-莱尔斯 体重 106kg
特雷-莱尔斯 年龄 23
特雷-莱尔斯 生涯 0年
特雷-莱尔斯 毕业大学 Kentucky
特雷-莱尔斯 球员主页 http://nba.sports.163.com//player/1000000471/
保罗-米尔萨普 号码 4
保罗-米尔萨普 位置 大前锋
保罗-米尔萨普 身高 2.03m
保罗-米尔萨普 体重 111kg
保罗-米尔萨普 年龄 33
保罗-米尔萨普 生涯 0年
保罗-米尔萨普 毕业大学 Louisiana
保罗-米尔萨普 球员主页 Tech
贾马尔-穆雷 号码 27
贾马尔-穆雷 位置 得分后卫
贾马尔-穆雷 身高 1.93m
贾马尔-穆雷 体重 93kg
贾马尔-穆雷 年龄 21
贾马尔-穆雷 生涯 0年
贾马尔-穆雷 毕业大学 Kentucky
贾马尔-穆雷 球员主页 http://nba.sports.163.com//player/1000000474/
加里-哈里斯 号码 14
加里-哈里斯 位置 得分后卫
加里-哈里斯 身高 1.93m
加里-哈里斯 体重 95kg
加里-哈里斯 年龄 24
加里-哈里斯 生涯 0年
加里-哈里斯 毕业大学 Michigan
加里-哈里斯 球员主页 State
威尔-巴顿 号码 5
威尔-巴顿 位置 得分后卫
威尔-巴顿 身高 1.98m
威尔-巴顿 体重 86kg
威尔-巴顿 年龄 27
威尔-巴顿 生涯 0年
威尔-巴顿 毕业大学 Memphis
威尔-巴顿 球员主页 http://nba.sports.163.com//player/1000000477/
梅森-普拉姆利 号码 24
梅森-普拉姆利 位置 大前锋
梅森-普拉姆利 身高 2.11m
梅森-普拉姆利 体重 106kg
梅森-普拉姆利 年龄 28
梅森-普拉姆利 生涯 0年
梅森-普拉姆利 毕业大学 Duke
梅森-普拉姆利 球员主页 http://nba.sports.163.com//player/1000000479/
托里-克雷格 号码 3
托里-克雷格 位置 小前锋
托里-克雷格 身高 2.01m
托里-克雷格 体重 97kg
托里-克雷格 年龄 27
托里-克雷格 生涯 0年
